Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link
Dell G15 5535,AMD Ryzen 7 7840HS,16GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 140W)","15.6"", Full HD (1920 x 1080), 165 Hz, IPS",1000GB SSD,125900,https://laptopmedia.com/laptop-specs/dell-g15-5535-11/,https://www.amazon.com/exec/obidos/ASIN/B0CWGKSN89?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 7410 (2-in-1),Intel Core i7-10610U,16GB RAM,Intel UHD Graphics,"14.0”, Full HD (1920 x 1080), IPS",256GB SSD,229977,https://laptopmedia.com/laptop-specs/dell-latitude-7410-2-in-1-7/,https://www.amazon.com/exec/obidos/ASIN/B08MLC6KG9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Inspiron 15 7567,Intel Core i5-7300HQ,20GB RAM,NVIDIA GeForce GTX 1050 Ti (4GB GDDR5),"15.6”, Full HD (1920 x 1080), TN",512GB SSD,89999,https://laptopmedia.com/laptop-specs/dell-inspiron-15-7567-134/,https://www.amazon.com/exec/obidos/ASIN/B07TXDPWHH?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Inspiron 16 Plus 7640,Intel Core Ultra 9 185H,16GB RAM,Intel Arc (8-Cores),"16.0″, 2.5K (2560 x 1600), 120 Hz, IPS",2000GB SSD,126900,https://laptopmedia.com/laptop-specs/dell-inspiron-16-plus-7640-234/,https://www.amazon.com/exec/obidos/ASIN/B0FT7XFWF9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Alienware 16X Aurora,Intel Core Ultra 9 275HX,32GB RAM,NVIDIA GeForce RTX 5070 (Laptop),"16.0"", WQXGA (2560 x 1600), 240 Hz, IPS",1000GB SSD,228849,https://laptopmedia.com/laptop-specs/alienware-16x-aurora-18/,https://www.amazon.com/exec/obidos/ASIN/B0FWCQZNMM?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 14 5430 Rugged,Intel Core i5-1135G7,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",256GB SSD,200000,https://laptopmedia.com/laptop-specs/dell-latitude-14-5430-rugged-42/,https://www.amazon.com/exec/obidos/ASIN/B0BNPNWJ8M?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell G15 5535,AMD Ryzen 7 7840HS,32GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 140W)","15.6”,  QHD (2560 x 1440), 240 Hz, IPS",2000GB SSD,147900,https://laptopmedia.com/laptop-specs/dell-g15-5535-170/,https://www.amazon.com/exec/obidos/ASIN/B0CW9PVG4Y?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 7420,Intel Core i7-1185G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",2000GB SSD,147900,https://laptopmedia.com/laptop-specs/dell-latitude-7420-71/,https://www.amazon.com/exec/obidos/ASIN/B0CDWLMCBQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell G15 5535,AMD Ryzen 7 7840HS,16GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 140W)","15.6"", Full HD (1920 x 1080), 165 Hz, IPS",2000GB SSD,132900,https://laptopmedia.com/laptop-specs/dell-g15-5535-21/,https://www.amazon.com/exec/obidos/ASIN/B0CW99YVDZ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell G15 5525,AMD Ryzen 5 6600H,16GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 90W)","15.6”, Full HD (1920 x 1080), 120 Hz, IPS",1000GB SSD,98900,https://laptopmedia.com/laptop-specs/dell-g15-5525-114/,https://www.amazon.com/exec/obidos/ASIN/B0CKQLKG8P?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
